address,coordinates
"312 Peacock Cir, Lexington, NC 27292","{'latitude': 35.81326, 'longitude': -80.27655}"
"301 Homewood Ln, Lexington, NC 27295","{'latitude': 35.83005, 'longitude': -80.27457}"
"210 Pine St, Lexington, NC 27292","{'latitude': 35.823475, 'longitude': -80.248344}"
"1009 Thomason St, Lexington, NC 27292","{'latitude': 35.820534, 'longitude': -80.23651}"
"715 Archdale Dr, Lexington, NC 27292","{'latitude': 35.82077, 'longitude': -80.26991}"
"332 Peacock Cir, Lexington, NC 27292","{'latitude': 35.813065, 'longitude': -80.277824}"
"506 Western Blvd, Lexington, NC 27295","{'latitude': 35.831062, 'longitude': -80.27902}"
"211 W 4th Ave, Lexington, NC 27292","{'latitude': 35.823414, 'longitude': -80.25977}"
"111 Snider Ave, Lexington, NC 27292","{'latitude': 35.809074, 'longitude': -80.27642}"
"206 Williams St, Lexington, NC 27292","{'latitude': 35.827393, 'longitude': -80.26068}"
"503 Fairview Dr, Lexington, NC 27292","{'latitude': 35.81028, 'longitude': -80.25115}"
"322 Burler St #60-62, Lexington, NC 27292","{'latitude': 35.82783, 'longitude': -80.2682}"
"E Us Highway 64, Lexington, NC","{'latitude': 35.82107, 'longitude': -80.24007}"
"305 E 5th Ave, Lexington, NC 27292","{'latitude': 35.816856, 'longitude': -80.2536}"
"332 Russell St, Lexington, NC 27292","{'latitude': 35.80199, 'longitude': -80.26936}"
"412 Westover Dr, Lexington, NC 27292","{'latitude': 35.831306, 'longitude': -80.26079}"
"305 E 5th Avenue Ext, Lexington, NC 27292","{'latitude': 35.8141, 'longitude': -80.2489}"
"227 W 5th Ave, Lexington, NC 27292","{'latitude': 35.822586, 'longitude': -80.26117}"
"14 Hillcrest Cres, Lexington, NC 27292","{'latitude': 35.829514, 'longitude': -80.25524}"
"133 W 1st Ave, Lexington, NC 27292","{'latitude': 35.825462, 'longitude': -80.25693}"
"413 Linwood Rd, Lexington, NC 27292","{'latitude': 35.798042, 'longitude': -80.2674}"
"334 Peacock Cir, Lexington, NC 27292","{'latitude': 35.813175, 'longitude': -80.27776}"
"304 Foy Ave, Lexington, NC 27292","{'latitude': 35.809772, 'longitude': -80.26291}"
"212 Martin St, Lexington, NC 27292","{'latitude': 35.82842, 'longitude': -80.26286}"
"501 Hoover Dr, Lexington, NC 27292","{'latitude': 35.808598, 'longitude': -80.257126}"
"324 Peacock Cir, Lexington, NC 27292","{'latitude': 35.813576, 'longitude': -80.27728}"
"716 Hyde St, Lexington, NC 27292","{'latitude': 35.796722, 'longitude': -80.26674}"
"1011 Craver Dr, Lexington, NC 27292","{'latitude': 35.820312, 'longitude': -80.23091}"
"226 Vance St, Lexington, NC 27292","{'latitude': 35.826237, 'longitude': -80.26038}"
"14 Dearr Dr, Lexington, NC 27292","{'latitude': 35.80945, 'longitude': -80.2396}"
"228 E Hemstead St, Lexington, NC 27292","{'latitude': 35.8267, 'longitude': -80.24059}"
"1300A Sunnyside Dr, Lexington, NC 27292","{'latitude': 35.8191, 'longitude': -80.2313}"
"0 Sunnyside Dr, Lexington, NC 27292","{'latitude': 35.81905, 'longitude': -80.2313}"
"1700 S Main St, Lexington, NC 27292","{'latitude': 35.80816, 'longitude': -80.27426}"
"509 Adams St, Lexington, NC 27292","{'latitude': 35.824444, 'longitude': -80.239365}"
"317 Fairview Dr, Lexington, NC 27292","{'latitude': 35.8127, 'longitude': -80.250755}"
"717 Martin Luther King Jr Blvd, Lexington, NC 27292","{'latitude': 35.823883, 'longitude': -80.240944}"
"315 Idlewild Dr, Lexington, NC 27295","{'latitude': 35.829178, 'longitude': -80.27946}"
"404 Carolina Ave, Lexington, NC 27292","{'latitude': 35.813484, 'longitude': -80.25542}"
"1009 Thomason St, Lexington, NC 27292","{'latitude': 35.820553, 'longitude': -80.236565}"
"1011 Thomason St, Lexington, NC 27292","{'latitude': 35.820385, 'longitude': -80.23647}"
"407 Beckner St, Lexington, NC 27292","{'latitude': 35.80957, 'longitude': -80.25593}"
"327 Peacock Cir, Lexington, NC 27292","{'latitude': 35.813686, 'longitude': -80.27737}"
"320 Peacock Cir, Lexington, NC 27292","{'latitude': 35.813553, 'longitude': -80.27717}"
"505 Moore Dr, Lexington, NC 27292","{'latitude': 35.801414, 'longitude': -80.272705}"
"114 Sharon Dr, Lexington, NC 27292","{'latitude': 35.801994, 'longitude': -80.232574}"
"101 Meredith Ave, Lexington, NC 27292","{'latitude': 35.805862, 'longitude': -80.25375}"
"408 Beckner St, Lexington, NC 27292","{'latitude': 35.809826, 'longitude': -80.25647}"
"510 Peeler St, Lexington, NC 27292","{'latitude': 35.80792, 'longitude': -80.25372}"
